case_id,classification,leaves,index,expected_root_hex,actual_root_hex,expected_proof_steps,actual_proof_steps,expected_outcome,actual_outcome,verification_result,exception_type,observation,passed
c11,success,"[""0000666f6f"",""626172""]",0,0c7597a5ee8a570cd5069411b600906d9ee9b36c71c8008d8845596e22e79de1,0c7597a5ee8a570cd5069411b600906d9ee9b36c71c8008d8845596e22e79de1,"[[""428705ba01474e64bc0ef59d5b628121044185cbc05ebdd94f3ee8dad889a722"",""right""]]","[[""428705ba01474e64bc0ef59d5b628121044185cbc05ebdd94f3ee8dad889a722"",""right""]]",success,success,True,,,True
c12,success,"[""c3a9f09f90b1""]",0,baeb41f408621f59a70b9668770a77c2a472cbde51f57cefc6cac46a42edef4c,baeb41f408621f59a70b9668770a77c2a472cbde51f57cefc6cac46a42edef4c,[],[],success,success,True,,,True
c13,empty_tree,[],,,,,,empty_tree,empty_tree,,EmptyTreeError,,True
c14,invalid_leaf,malformed:list,,,,,,invalid_leaf,invalid_leaf,,InvalidLeafError,,True
c15,index_out_of_range,"[""61"",""62""]",-1,,,,,index_out_of_range,index_out_of_range,,IndexOutOfRangeError,,True
c16,index_out_of_range,"[""61"",""62""]",2,,,,,index_out_of_range,index_out_of_range,,IndexOutOfRangeError,,True
c17,root_mismatch,"[""61"",""62""]",0,,,,,root_mismatch,root_mismatch,False,,,True
c18,root_mismatch,"[""61"",""62""]",0,,,,,root_mismatch,root_mismatch,False,,,True
c19,root_mismatch,"[""61"",""62""]",0,,,,,root_mismatch,root_mismatch,False,,,True
c20,root_mismatch,"[""61"",""62""]",0,,,,,root_mismatch,root_mismatch,False,,,True
c21,invalid_digest,"[""61"",""62""]",0,,,,,invalid_digest,invalid_digest,,InvalidDigestError,,True
c22,invalid_side,"[""61"",""62""]",0,,,,,invalid_side,invalid_side,,InvalidSideError,,True
c23,invalid_metadata,"[""61"",""62""]",0,,,,,invalid_metadata,invalid_metadata,,InvalidMetadataError,,True
c24,invalid_metadata,"[""61"",""62""]",0,,,,,invalid_metadata,invalid_metadata,,InvalidMetadataError,,True
c25,proof_length_mismatch,"[""61"",""62"",""63"",""64""]",0,,,,,proof_length_mismatch,proof_length_mismatch,,ProofLengthMismatchError,,True
c26,proof_length_mismatch,"[""61"",""62""]",0,,,,,proof_length_mismatch,proof_length_mismatch,,ProofLengthMismatchError,,True
